Property,Address,Acquired,Placed in service,In-service evidence,First tenant,Purchase price,Closing costs,Land value,Unadjusted basis,Ownership %,Was a personal residence,Converted to rental,Market value at conversion,Sold,Sale price,Triple-net leased,Personal use this year,Section 469 activity,Management history
Arbordale way,"5120 Arbordale Way, Mt Holly, NC 28120",,2025-01-28,,,322500.00,3706.18,,0.00,100,,,,,,,,,
Creedmore ct,"1109 Creedmore Ct, Charlotte, NC 28215",,2025-12-02,,,378500.00,5204.57,,0.00,100,,,,,,,,,2025-01-01 to now: JKN Realty
Kettlewell,"16824 Kettlewell Lane, Charlotte, NC 28277",2018-05-10,2019-10-01,,,264900.00,,,0.00,100,Yes,,,,,,,,2018-05-10 to now: JKN Realty
Westmill,"17334 Westmill Ln, Charlotte, NC 28277",2019-09-11,2023-02-01,,,324000.00,,,0.00,100,Yes,,,,,,,,2019-09-11 to now: JKN Realty
